time_ms,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-90,0.021,0.026,0.016,-0.024,0.005,0.021,0.008,0.01,0.011,0.012,0.012,0.012
-80,0.013,0.018,0.01,-0.017,0.004,0.013,0.004,0.006,0.008,0.01,0.012,0.011
-70,0.008,0.013,0.008,-0.026,0.003,0.01,0.003,0.004,0.007,0.01,0.013,0.011
-60,0.011,0.023,0.013,-0.058,0.004,0.015,0.003,0.006,0.014,0.023,0.031,0.026
-50,0.043,0.094,0.053,-0.104,0.018,0.06,0.008,0.022,0.059,0.104,0.14,0.117
-40,0.113,0.246,0.139,-0.176,0.048,0.155,0.022,0.058,0.155,0.273,0.369,0.307
-30,0.205,0.449,0.254,-0.295,0.088,0.283,0.039,0.107,0.283,0.499,0.674,0.561
-20,0.307,0.672,0.38,-0.439,0.131,0.424,0.058,0.159,0.423,0.747,1.008,0.841
-10,0.391,0.854,0.484,-0.558,0.167,0.54,0.072,0.2,0.537,0.95,1.283,1.07
0,0.422,0.919,0.522,-0.606,0.175,0.582,0.045,0.177,0.564,1.027,1.39,1.16
10,0.38,0.812,0.469,-0.563,0.134,0.521,-0.119,-0.031,0.434,0.926,1.274,1.069
20,0.285,0.585,0.35,-0.448,0.065,0.385,-0.332,-0.312,0.214,0.697,0.99,0.839
30,0.196,0.396,0.24,-0.309,0.041,0.264,-0.249,-0.243,0.134,0.48,0.679,0.577
40,0.128,0.264,0.158,-0.19,0.042,0.176,-0.053,-0.036,0.133,0.315,0.424,0.358
50,0.079,0.16,0.098,-0.112,0.03,0.11,0.008,0.017,0.094,0.196,0.249,0.21
60,0.053,0.1,0.066,-0.073,0.019,0.074,0.011,0.008,0.058,0.132,0.158,0.135
70,0.046,0.079,0.057,-0.061,0.015,0.064,0.011,-0.001,0.044,0.114,0.128,0.11
80,0.049,0.081,0.061,-0.065,0.015,0.068,0.012,-0.005,0.043,0.122,0.132,0.114
90,0.058,0.093,0.071,-0.075,0.018,0.08,0.015,-0.008,0.049,0.14,0.15,0.131
100,0.068,0.11,0.083,-0.089,0.021,0.094,0.018,-0.009,0.057,0.164,0.175,0.152
110,0.079,0.127,0.097,-0.103,0.024,0.109,0.021,-0.011,0.067,0.188,0.202,0.176
120,0.09,0.145,0.111,-0.118,0.028,0.125,0.024,-0.013,0.076,0.213,0.228,0.198
130,0.101,0.163,0.124,-0.132,0.031,0.139,0.028,-0.015,0.085,0.236,0.252,0.22
140,0.11,0.178,0.136,-0.144,0.034,0.153,0.031,-0.016,0.093,0.256,0.274,0.238
150,0.119,0.192,0.146,-0.155,0.036,0.164,0.034,-0.018,0.1,0.272,0.291,0.253
160,0.125,0.202,0.154,-0.163,0.038,0.173,0.036,-0.019,0.106,0.283,0.303,0.264
170,0.129,0.208,0.158,-0.168,0.04,0.178,0.038,-0.02,0.109,0.289,0.309,0.269
180,0.13,0.21,0.16,-0.17,0.04,0.18,0.04,-0.02,0.11,0.289,0.309,0.269
190,0.129,0.208,0.158,-0.168,0.04,0.178,0.04,-0.02,0.109,0.283,0.303,0.264
200,0.125,0.202,0.154,-0.163,0.038,0.173,0.04,-0.02,0.106,0.272,0.291,0.253
210,0.119,0.192,0.146,-0.155,0.036,0.164,0.038,-0.019,0.1,0.256,0.274,0.238
220,0.11,0.178,0.136,-0.144,0.034,0.153,0.036,-0.018,0.093,0.236,0.252,0.22
230,0.101,0.163,0.124,-0.132,0.031,0.139,0.034,-0.016,0.085,0.213,0.228,0.198
240,0.09,0.145,0.111,-0.118,0.028,0.125,0.031,-0.015,0.076,0.188,0.201,0.175
250,0.079,0.127,0.097,-0.103,0.024,0.109,0.028,-0.013,0.067,0.163,0.175,0.152
260,0.068,0.109,0.083,-0.088,0.021,0.094,0.024,-0.011,0.057,0.139,0.148,0.129
270,0.057,0.092,0.07,-0.074,0.018,0.079,0.021,-0.01,0.048,0.115,0.123,0.108
280,0.047,0.076,0.058,-0.061,0.014,0.065,0.018,-0.008,0.04,0.094,0.101,0.088
290,0.038,0.061,0.047,-0.049,0.012,0.052,0.014,-0.006,0.032,0.075,0.08,0.07
300,0.03,0.048,0.037,-0.039,0.009,0.041,0.012,-0.005,0.025,0.059,0.063,0.055
310,0.023,0.037,0.029,-0.03,0.007,0.032,0.009,-0.004,0.02,0.045,0.048,0.042
320,0.018,0.028,0.022,-0.023,0.005,0.024,0.007,-0.003,0.015,0.034,0.036,0.032
330,0.013,0.021,0.016,-0.017,0.004,0.018,0.005,-0.002,0.011,0.025,0.027,0.023
340,0.01,0.015,0.012,-0.012,0.003,0.013,0.004,-0.002,0.008,0.018,0.019,0.017
350,0.007,0.011,0.008,-0.009,0.002,0.009,0.003,-0.001,0.006,0.013,0.014,0.012
360,0.005,0.008,0.006,-0.006,0.001,0.007,0.002,-0.001,0.004,0.009,0.009,0.008
370,0.003,0.005,0.004,-0.004,0.001,0.005,0.001,-0.001,0.003,0.006,0.006,0.006
