time_ms,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-90,0.023,0.029,0.019,-0.026,0.005,0.024,0.01,0.013,0.014,0.014,0.015,0.015
-80,0.015,0.02,0.012,-0.019,0.004,0.015,0.006,0.008,0.01,0.012,0.014,0.013
-70,0.01,0.015,0.009,-0.029,0.003,0.011,0.003,0.005,0.008,0.012,0.015,0.013
-60,0.013,0.025,0.015,-0.064,0.005,0.017,0.003,0.007,0.015,0.026,0.034,0.029
-50,0.05,0.101,0.06,-0.115,0.021,0.065,0.011,0.028,0.064,0.111,0.152,0.125
-40,0.129,0.263,0.156,-0.195,0.054,0.167,0.027,0.074,0.166,0.291,0.397,0.328
-30,0.236,0.48,0.285,-0.326,0.098,0.305,0.049,0.136,0.303,0.53,0.725,0.598
-20,0.353,0.718,0.426,-0.485,0.147,0.456,0.074,0.203,0.454,0.794,1.085,0.895
-10,0.449,0.914,0.543,-0.617,0.186,0.58,0.091,0.255,0.577,1.01,1.381,1.139
0,0.485,0.983,0.586,-0.671,0.196,0.626,0.063,0.233,0.607,1.092,1.497,1.235
10,0.436,0.865,0.526,-0.625,0.15,0.559,-0.119,0.004,0.467,0.985,1.371,1.137
20,0.326,0.62,0.392,-0.5,0.073,0.414,-0.354,-0.308,0.23,0.742,1.065,0.89
30,0.226,0.424,0.272,-0.349,0.047,0.288,-0.265,-0.244,0.148,0.516,0.737,0.617
40,0.154,0.293,0.186,-0.22,0.05,0.199,-0.051,-0.028,0.151,0.347,0.471,0.392
50,0.1,0.187,0.122,-0.136,0.038,0.132,0.015,0.024,0.113,0.225,0.287,0.24
60,0.072,0.126,0.088,-0.095,0.027,0.096,0.018,0.01,0.077,0.161,0.193,0.163
70,0.065,0.107,0.079,-0.085,0.024,0.088,0.018,-0.001,0.064,0.145,0.165,0.14
80,0.07,0.111,0.085,-0.09,0.025,0.095,0.021,-0.006,0.066,0.155,0.172,0.146
90,0.08,0.125,0.097,-0.102,0.028,0.108,0.024,-0.009,0.074,0.176,0.194,0.165
100,0.091,0.143,0.111,-0.117,0.033,0.124,0.028,-0.011,0.085,0.202,0.221,0.189
110,0.103,0.162,0.125,-0.132,0.037,0.14,0.032,-0.013,0.096,0.228,0.25,0.213
120,0.114,0.179,0.138,-0.146,0.041,0.155,0.037,-0.015,0.106,0.252,0.277,0.236
130,0.124,0.194,0.15,-0.159,0.044,0.168,0.041,-0.016,0.115,0.274,0.3,0.256
140,0.131,0.206,0.159,-0.169,0.047,0.178,0.044,-0.018,0.122,0.291,0.319,0.272
150,0.137,0.215,0.166,-0.176,0.049,0.186,0.047,-0.019,0.127,0.303,0.332,0.283
160,0.14,0.219,0.17,-0.18,0.05,0.19,0.049,-0.02,0.13,0.309,0.339,0.289
170,0.14,0.219,0.17,-0.18,0.05,0.19,0.05,-0.02,0.13,0.309,0.339,0.289
180,0.137,0.215,0.166,-0.176,0.049,0.186,0.05,-0.02,0.127,0.303,0.332,0.283
190,0.131,0.206,0.159,-0.169,0.047,0.178,0.049,-0.02,0.122,0.291,0.319,0.272
200,0.124,0.194,0.15,-0.159,0.044,0.168,0.047,-0.019,0.115,0.274,0.3,0.256
210,0.114,0.179,0.138,-0.146,0.041,0.155,0.044,-0.018,0.106,0.252,0.277,0.236
220,0.103,0.162,0.125,-0.132,0.037,0.14,0.041,-0.016,0.095,0.228,0.25,0.213
230,0.091,0.143,0.11,-0.117,0.032,0.123,0.037,-0.015,0.084,0.201,0.221,0.188
240,0.079,0.124,0.096,-0.101,0.028,0.107,0.032,-0.013,0.073,0.175,0.192,0.163
250,0.067,0.105,0.081,-0.086,0.024,0.091,0.028,-0.011,0.062,0.148,0.163,0.139
260,0.056,0.088,0.068,-0.072,0.02,0.076,0.024,-0.01,0.052,0.123,0.135,0.115
270,0.045,0.071,0.055,-0.058,0.016,0.062,0.02,-0.008,0.042,0.101,0.11,0.094
280,0.036,0.057,0.044,-0.047,0.013,0.049,0.016,-0.006,0.034,0.08,0.088,0.075
290,0.028,0.045,0.035,-0.037,0.01,0.039,0.013,-0.005,0.026,0.063,0.069,0.059
300,0.022,0.034,0.026,-0.028,0.008,0.03,0.01,-0.004,0.02,0.048,0.053,0.045
310,0.016,0.026,0.02,-0.021,0.006,0.022,0.008,-0.003,0.015,0.036,0.04,0.034
